Number,RunName,nAgents,alpha,nManualSigns,nSpokenSigns,nClans,MaxSizeCompounds,clanWeight,compoundWeight,genderWeight,deafCommunityWeight,gCarry,gDom,probOfBirthDeathEachStage,maxNumberOfBirthDeathEachStage,maxNumberOfMarriagePartners,proportionOfMarriedAgents,proportionOfMarriedAgentsDeaf,marriageAttitudes_deaf_deaf,marriageAttitudes_deaf_hearing,marriageAttitudes_hearing_deaf,marriageAttitudes_hearing_hearing,CulturalInheritance,MarriageLocality,MarryOutsiders,nStages,nSimulations,clanWeightMarry,compoundWeightMarry,deafCommunityWeightMarry,comSimilarityMarry
1,KK_Default,2188,0.9,10,10,10,25,3,4,2,1,0.176,0.022,0.99,3,1,0.64,0.85,0.875,0.125,0.0013,0.9987,Patrilineal,Patrilocal,FALSE,1000,10,2,0,1,1
2,KK_SmallCommunity,720,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
3,KK_LargeCommunity,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,KK_CommLow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001
5,KK_CommHigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
6,KK_LowIncidence,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,
7,KK_HighIncidence,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,
8,KK_HearingCarriersLow,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
9,KK_HearingCarriersHigh,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,
10,KK_NoSocialStructure,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,
11,KK_Endangerment,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,
12,BulelengGeneralSituation,,,,,,,,,,,0,0.0067,,,,,0.295,,,,,,,,,,,,,
13,UrbanSituation,3000,,,,,6,1,1,1,4,0,0.001,,,,,0.295,,,,,,,TRUE,,,,,,
14,Test,30,0.9,10,10,4,10,,,,,0.5,0.25,,,,,,,,,,,,,,,,,,
15,KK_LowDeafMarriage,,,,,,,,,,,,,,,,0.64,0.295,,,,,,,,,,,,,
16,KK_CommVeryHigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
